Date,Open,High,Low,Close,Volume,DailyChanges
2004-01-02,1.539285659790039,1.5535714626312256,1.51285719871521,1.5199999809265137,36160600,-0.01252897975165701
2004-01-05,1.5299999713897705,1.5992857217788696,1.5299999713897705,1.583571434020996,98754600,0.03501402851829094
2004-01-06,1.5892857313156128,1.6014286279678345,1.5507142543792725,1.5778571367263794,127337000,-0.00719102573190078
2004-01-07,1.5785714387893677,1.6307142972946167,1.566428542137146,1.6135714054107666,146718600,0.022171924413025623
2004-01-08,1.631428599357605,1.6950000524520874,1.6178570985794067,1.6685714721679688,115075800,0.022767084520272096
2004-01-09,1.6592856645584106,1.7235714197158811,1.6278570890426636,1.6428571939468384,106864800,-0.009900929636455613
2004-01-12,1.6607142686843872,1.7142857313156128,1.649999976158142,1.6950000524520874,121886800,0.020645203340645235
2004-01-13,1.764285683631897,1.7742856740951538,1.704285740852356,1.722857117652893,169754200,-0.0234817786956818
2004-01-14,1.7428570985794067,1.7528570890426636,1.6985714435577393,1.7285714149475098,155010800,-0.008196703931458993
2004-01-15,1.6364285945892334,1.6714285612106323,1.6071428060531616,1.6321429014205933,254552200,-0.002618930751277837
2004-01-16,1.6349999904632568,1.645714282989502,1.6150000095367432,1.6228570938110352,93205000,-0.0074268481486542415
2004-01-20,1.6192857027053833,1.628571391105652,1.5892857313156128,1.6235713958740234,78986600,0.002646656585357343
2004-01-21,1.621428608894348,1.6407142877578735,1.6021428108215332,1.6150000095367432,56665000,-0.003964774842592944
2004-01-22,1.6114286184310913,1.6307142972946167,1.5842857360839844,1.5842857360839844,51251200,-0.016843986780831544
2004-01-23,1.6014286279678345,1.6242856979370115,1.5892857313156128,1.6114286184310913,56792400,0.006244418445264355
2004-01-26,1.604285717010498,1.6471428871154783,1.6021428108215332,1.643571376800537,67817400,0.02448794461827264
2004-01-27,1.645714282989502,1.6607142686843872,1.628571391105652,1.6478571891784668,76767600,0.0013021131378117001
2004-01-28,1.631428599357605,1.6699999570846558,1.6007143259048462,1.6085714101791382,68850600,-0.0140105360341648
2004-01-29,1.6164286136627195,1.628571391105652,1.5850000381469729,1.6200000047683716,53174800,0.0022094332378586046
2004-01-30,1.6178570985794067,1.6335713863372805,1.6014286279678345,1.6114286184310913,46324600,-0.003973453622053591
2004-02-02,1.604285717010498,1.62928569316864,1.5771428346633911,1.5942857265472412,71857800,-0.0062332976958064945
2004-02-03,1.5928571224212646,1.600000023841858,1.5714285373687744,1.590000033378601,45203200,-0.0017936882112317143
2004-02-04,1.5714285373687744,1.5778571367263794,1.5499999523162842,1.5564285516738892,76388200,-0.009545445649091655
2004-02-05,1.558571457862854,1.6364285945892334,1.5578571557998655,1.6014286279678345,88211200,0.02749772549007612
2004-02-06,1.6035714149475098,1.6349999904632568,1.600000023841858,1.6221429109573364,48335000,0.011581333912985992
2004-02-09,1.6157143115997314,1.632857084274292,1.6071428060531616,1.6192857027053833,47065200,0.0022104100211353117
2004-02-10,1.6157143115997314,1.6514285802841189,1.6028571128845217,1.6414285898208618,63835800,0.015915114470744784
2004-02-11,1.6492856740951538,1.7050000429153442,1.6464285850524902,1.7000000476837158,87136000,0.030749296125660797
2004-02-12,1.6864285469055176,1.7135714292526243,1.6857142448425293,1.6950000524520874,45997000,0.005082637839769699
2004-02-13,1.7035714387893677,1.7214285135269165,1.6307142972946167,1.6428571939468384,78995000,-0.035639388792333526
2004-02-17,1.649999976158142,1.6778571605682373,1.649999976158142,1.6542856693267822,42739200,0.002597389836707098
2004-02-18,1.6557142734527588,1.6742857694625854,1.6464285850524902,1.6614285707473757,35408800,0.0034512580982348773
2004-02-19,1.666428565979004,1.6885714530944824,1.6007143259048462,1.6050000190734863,80770200,-0.036862394320172465
2004-02-20,1.6071428060531616,1.60785710811615,1.5864285230636597,1.600000023841858,69400800,-0.004444397961650415
2004-02-23,1.5957143306732178,1.604285717010498,1.5635714530944824,1.5850000381469729,48519800,-0.0067144176876099415
2004-02-24,1.5814285278320312,1.6242856979370115,1.5714285373687744,1.5971428155899048,64764000,0.00993676760050377
2004-02-25,1.591428518295288,1.6357142925262451,1.5864285230636597,1.62928569316864,69069000,0.02378817172002412
2004-02-26,1.6342856884002686,1.6557142734527588,1.628571391105652,1.645714282989502,49602000,0.006993021275503164
2004-02-27,1.6399999856948853,1.7157143354415894,1.639285683631897,1.708571434020996,117209400,0.041811859100142845
2004-03-01,1.7214285135269165,1.735714316368103,1.7050000429153442,1.7157143354415894,80420200,-0.003319439663294399
2004-03-02,1.7142857313156128,1.7214285135269165,1.697857141494751,1.7007142305374146,64171800,-0.007916708708636921
2004-03-03,1.6857142448425293,1.7278571128845217,1.6857142448425293,1.708571434020996,56282800,0.013559349841409274
2004-03-04,1.7092857360839844,1.8014285564422607,1.7078571319580078,1.7971428632736206,165055800,0.051399906601291345
2004-03-05,1.7821428775787354,1.9635714292526243,1.7785714864730835,1.909999966621399,385149800,0.0717434559547625
2004-03-08,1.9014285802841189,1.9135714769363403,1.8428571224212649,1.8571428060531616,130718000,-0.023290790245900195
